Matricule	Qualite	Nom usuel	Prenom usuel	Etat	Date naissance	Date de deces	Groupe politique	Type d'app au grp politique	Commission permanente	Circonscription	Fonction au Bureau du Senat	Courrier electronique	PCS INSEE	Categorie professionnelle	Description de la profession
58946F	M.	Brun	Raymond	ANCIEN	18/03/1915	29/12/2006	RPR	Apparenté	commission de l'économie	Gironde			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Industriel
000053	M.	Bruneau	André	ANCIEN	05/09/1901	11/04/1973	U.R.E.I.	Rattaché	commission des affaires sociales	Sarthe			Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
000035	M.	Brunhes	Julien	ANCIEN	25/11/1900	11/11/1986	U.R.E.I.		commission des affaires étrangères	Seine			Ingenieurs et cadres techniques d'entreprise	Salariés (Ingénieurs)	Ingénieur
000049	M.	Bruyas	Florian	ANCIEN	26/07/1901	22/10/1974	RI		commission de la culture	Rhône			Commercants et assimilés	Commerce et industrie (Négociants)	Négociant
57432D	M.	Bruyneel	Robert	ANCIEN	25/06/1905	17/03/1999	RI		commission des lois	Loir-et-Cher			Autres personnes sans activité professionnelle	Sans profession déclarée	Administrateur civil
04047H	M.	Buffet	François-Noël	ACTIF	28/08/1963		Les Républicains		commission des lois	Rhône		fn.buffet@senat.fr	Avocats	Professions judiciaires et libérales (Avocats)	Avocat
19782L	M.	Buis	Bernard	ACTIF	23/06/1956		LaREM		commission des affaires économiques	Drôme		b.buis@senat.fr	Autres personnes sans activité professionnelle	Sans profession déclarée	
000010	M.	Burgat	Gabriel	ANCIEN	20/03/1899	26/06/1975	U.N.R.		commission de l'économie	Bône			Agriculteurs exploitants	Professions agricoles	Agriculteur
000150	M.	Burret	Robert	ANCIEN	25/08/1906	08/03/1985	RI		commission des affaires sociales	Hautes-Pyrénées			Professions libérales	Professions judiciaires et libérales (Divers)	Technicien-géomètre
59524Q	M.	Cabana	Camille	ANCIEN	11/12/1930	02/06/2002	RPR		commission des finances	Paris			Anciens cadres	Fonctionnaires (Retraités)	Préfet honoraire
83020K	M.	Cabanel	Guy-Pierre	ANCIEN	07/04/1927	15/03/2016	RDSE		commission des lois	Isère		Non public	Médecins hospitaliers (sans activité libérale)	Professions médicales (Professeurs)	Professeur d'Université
14207L	M.	Cabanel	Henri	ACTIF	09/03/1959		RDSE		commission des affaires économiques	Hérault		h.cabanel@senat.fr	Agriculteurs exploitants	Professions agricoles	Viticulteur
58366Q	M.	Cabocel	Rémi	ANCIEN	13/09/1926	22/10/2009	NI		Aucune (Président du Sénat)	Moselle			Agriculteurs exploitants	Professions agricoles	Agriculteur
14255U	M.	Cadic	Olivier	ACTIF	22/04/1962		UC		commission des affaires étrangères	Français établis hors de France		o.cadic@senat.fr	Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Chef d'entreprise
04066L	M.	Caffet	Jean-Pierre	ANCIEN	08/11/1951		LaREM		commission des affaires sociales	Paris	Vice-président du Sénat	jp.caffet@senat.fr	Cadres de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Fonctionnaire
58411C	M.	Caillavet	Henri	ANCIEN	13/02/1914	27/02/2013	G.D.S.R.G.		commission des finances	Lot-et-Garonne			Avocats	Professions judiciaires et libérales (Avocats)	Avocat
000538	M.	Caiveau	Louis	ANCIEN	03/10/1924	27/02/1987	UC		commission de l'économie	Vendée			Anciens artisans, commercants, chefs d'entreprise	Commerce et industrie (Retraités)	Ancien entrepreneur de travaux publics
77009C	M.	Caldaguès	Michel	ANCIEN	28/09/1926	22/09/2012	RPR		commission des affaires étrangères	Paris		Non public	Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Administrateur de sociétés
86014A	M.	Calméjane	Robert	ANCIEN	19/05/1929	10/12/2002	RPR		commission des affaires étrangères	Seine-Saint-Denis		Non public	Anciens artisans, commercants, chefs d'entreprise	Commerce et industrie (Retraités)	Administrateur de sociétés
000735	M.	Calmels	Gabriel	ANCIEN	18/09/1887	03/09/1979	G.D.		commission de la culture	Hérault			Agriculteurs exploitants	Professions agricoles	Agriculteur
11101A	M.	Calvet	François	ACTIF	01/04/1953		Les Républicains		commission des affaires économiques	Pyrénées-Orientales		f.calvet@senat.fr	Autres personnes sans activité professionnelle	Sans profession déclarée	Avocat
11095V	M.	Camani	Pierre	ANCIEN	19/02/1952		SOCR		commission de l'aménagement du territoire et du développement durable	Lot-et-Garonne		p.camani@senat.fr	Autres personnes sans activité professionnelle	Fonctionnaires (Hauts Fonctionnaires)	Cadre de la fonction publique territoriale
04042C	M.	Cambon	Christian	ACTIF	08/03/1948		Les Républicains		commission des affaires étrangères	Val-de-Marne		c.cambon@senat.fr	Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Retraités)	Chef d'entreprise
89024Q	M.	Camoin	Jean-Pierre	ANCIEN	09/05/1942		RPR		commission des finances	Bouches-du-Rhône			Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
00003C	Mme	Campion	Claire-Lise	ANCIEN	27/07/1951		SOCR		commission des affaires sociales	Essonne		cl.campion@senat.fr	Autres personnes sans activité professionnelle	Sans profession déclarée	Sans profession déclarée
14053L	Mme	Canayer	Agnès	ACTIF	21/09/1965		Les Républicains		commission des lois	Seine-Maritime	Secrétaire du Sénat	a.canayer@senat.fr	Autres personnes sans activité professionnelle	Enseignement (Divers)	
14083S	M.	Canevet	Michel	ACTIF	14/12/1960		UC		commission des finances	Finistère		m.canevet@senat.fr	Cadres et Professions intellectuelles supérieures	Salariés (Cadres divers)	Responsable de collectivités
77002U	M.	Cantegrit	Jean-Pierre	ANCIEN	02/07/1933		Les Républicains		commission des affaires étrangères	Français établis hors de France		jp.cantegrit@senat.fr	Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Directeur de sociétés
000755	M.	Capelle	Omer	ANCIEN	25/07/1891	26/05/1966	CRARS		commission des affaires sociales	Somme			Agriculteurs exploitants	Professions agricoles	Agriculteur
11053K	M.	Capo-Canellas	Vincent	ACTIF	04/05/1967		UC		commission des finances	Seine-Saint-Denis	Questeur du Sénat	v.capo-canellas@senat.fr	Autres personnes sans activité professionnelle	Salariés (Cadres divers)	Fonctionnaire territorial
19545Y	M.	Capus	Emmanuel	ACTIF	23/06/1974		Les Indépendants		commission des finances	Maine-et-Loire		e.capus@senat.fr	Avocats	Professions judiciaires et libérales (Avocats)	Avocat
59525R	M.	Carat	Jacques	ANCIEN	21/09/1919	19/03/2009	SOCR		commission de la culture	Val-de-Marne			Journalistes, secrétaires de rédaction	Professions libérales (Journalistes)	Journaliste
000076	M.	Carcassonne	Roger	ANCIEN	15/06/1903	28/11/1992	SOCR		commission des affaires étrangères	Bouches-du-Rhône			Avocats	Professions judiciaires et libérales (Avocats)	Avocat
14085U	M.	Carcenac	Thierry	ACTIF	19/12/1950		SOCR		commission des finances	Tarn		t.carcenac@senat.fr	Cadres de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Directeur divisionnaire des Impôts
000722	Mme	Cardot	Marie-Hélène	ANCIEN	14/07/1899	13/08/1977	UC		commission des affaires sociales	Ardennes			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Industriel
11103C	M.	Cardoux	Jean-Noël	ACTIF	18/12/1946		Les Républicains		commission des affaires sociales	Loiret		jn.cardoux@senat.fr	Autres personnes sans activité professionnelle	Professions judiciaires et libérales (Retraités)	Expert comptable
95015C	M.	Carle	Jean-Claude	ANCIEN	09/06/1948	13/12/2019	Les Républicains		commission de la culture	Haute-Savoie		jean-claude.carle@wanadoo.fr	Techniciens	Salariés (Retraités)	Agent technique
59526S	M.	Caron	Paul	ANCIEN	13/07/1921	02/02/2012	UC		commission des affaires étrangères	Seine-Maritime			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Industriel
000326	M.	Carous	Pierre	ANCIEN	17/09/1913	14/01/1990	RPR		commission de la culture	Nord	Vice-président du Sénat		Avocats	Professions judiciaires et libérales (Avocats)	Avocat
92015P	M.	Carrère	Jean-Louis	ANCIEN	04/12/1944		SOCR		commission de la culture	Landes		jl.carrere@wanadoo.fr	Instituteurs et assimilés	Enseignement primaire	Instituteur
19629C	Mme	Carrère	Maryse	ACTIF	08/04/1967		RDSE		commission des lois	Hautes-Pyrénées		m.carrere@senat.fr	Cadres de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Cadre de la fonction publique territoriale
000003	M.	Carrier	Maurice	ANCIEN	15/01/1900	30/11/1981	U.N.R.		commission des affaires étrangères	Français établis hors de France			Agriculteurs exploitants	Professions agricoles	Agriculteur
59569E	M.	Cartigny	Ernest	ANCIEN	18/07/1923	09/12/2009	RDSE		commission des affaires étrangères	Seine-Saint-Denis		Non public	Anciens artisans, commercants, chefs d'entreprise	Commerce et industrie (Retraités)	Chef d'entreprise honoraire
08024S	Mme	Cartron	Françoise	ACTIF	27/03/1949		LaREM		commission de l'aménagement du territoire et du développement durable	Gironde		f.cartron@senat.fr	Instituteurs et assimilés	Enseignement (Retraités)	Directrice d'école
11032E	M.	Carvounas	Luc	ANCIEN	08/06/1971		SOCR		commission des lois	Val-de-Marne		l.carvounas@senat.fr	Autres personnes sans activité professionnelle	Fonctionnaires (Cadres moyens)	Cadre territorial
89008Q	M.	Castaing	Robert	ANCIEN	06/09/1930	11/11/2002	SOCR		commission de la culture	Gers			Instituteurs et assimilés	Enseignement secondaire	Professeur
14201E	M.	Castelli	Joseph	ACTIF	04/06/1948		RDSE		commission de la culture	Haute-Corse		j.castelli@senat.fr	Artisans, commercants et chefs d'entreprise	Commerce et industrie (Chefs d'entreprises)	
58936D	M.	Castex	Marc	ANCIEN	13/09/1914	17/05/2002	U.R.E.I.		commission des affaires sociales	Gers			Anciens cadres et professions liberales	Salariés (Retraités)	Directeur de société
000350	M.	Cathala	Charles	ANCIEN	06/11/1914	24/11/1996	NI		commission des affaires sociales	Seine-Saint-Denis	Secrétaire du Sénat		Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Directeur de société
000327	M.	Cauchon	Jean	ANCIEN	21/11/1913	16/11/1991	UC		commission des affaires sociales	Eure-et-Loir	Questeur du Sénat		Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Directeur de société
000510	M.	Caupert	Joseph	ANCIEN	04/07/1923	09/09/1994	RI		commission de l'économie	Lozère			Huissiers de justice, officiers ministériels et professions libérales divers	Professions judiciaires et libérales (Officiers ministériels)	Notaire
58202U	M.	Cavaillé	Marcel	ANCIEN	03/02/1927	14/02/2013	RI		commission des affaires sociales	Haute-Garonne			Ingenieurs et cadres techniques d'entreprise	Salariés (Ingénieurs)	Ingénieur EDF
92046W	M.	Cavalier-Benezet	Francis	ANCIEN	22/01/1922	07/09/2014	SOCR		commission des affaires sociales	Gard			Agriculteurs exploitants	Professions agricoles	Exploitant agricole
11044J	Mme	Cayeux	Caroline	ANCIEN	01/11/1948		Les Républicains		commission des affaires sociales	Oise		c.cayeux@senat.fr	Autres personnes sans activité professionnelle	Enseignement supérieur (sauf Professeurs de médecine)	Enseignante
59601L	M.	Cayrel	Raymond	ANCIEN	29/07/1921	05/01/2001	RI		commission de l'économie	Aveyron			Agriculteurs exploitants	Professions agricoles	Agriculteur
19721W	M.	Cazabonne	Alain	ACTIF	25/08/1944		UC		commission des affaires étrangères	Gironde		a.cazabonne@senat.fr	Retraités	Commerce et industrie (Retraités)	Ancien gérant de société
83021L	M.	Cazalet	Auguste	ANCIEN	07/09/1938	04/06/2013	Les Républicains		commission des finances	Pyrénées-Atlantiques		a.cazalet@senat.fr	Agriculteurs exploitants	Professions agricoles	Agriculteur
98029W	M.	Cazeau	Bernard	ACTIF	27/04/1939		LaREM		commission des affaires étrangères	Dordogne		b.cazeau@senat.fr	Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
58657Y	M.	Ceccaldi-Pavard	Pierre	ANCIEN	06/02/1921	31/12/2004	UC		commission des lois	Essonne	Secrétaire du Sénat		Professions libérales	Professions judiciaires et libérales (Divers)	Assureur conseil
95016D	M.	Ceccaldi-Raynaud	Charles	ANCIEN	25/06/1925	18/07/2019	Les Républicains		commission des lois	Hauts-de-Seine			Avocats	Professions judiciaires et libérales (Avocats)	Avocat
92008Q	Mme	Cerisier-ben Guiga	Monique	ANCIEN	20/06/1942		SOCR		commission des affaires étrangères	Français établis hors de France	Secrétaire du Sénat	m.cerisier-ben-guiga@senat.fr	Instituteurs et assimilés	Enseignement secondaire	Professeur de lettres
90003B	M.	César	Gérard	ANCIEN	19/12/1934		Les Républicains		commission des affaires économiques	Gironde		Non public	Agriculteurs exploitants	Professions agricoles	Agriculteur
000257	M.	Chabaraka	Ahmed	ANCIEN	10/11/1910	12/01/1995	G.D.	Apparenté	commission de la culture	Mostaganem-Tiaret			Magistrats	Fonctionnaires (Divers)	Magistrat
95017E	M.	Chabroux	Gilbert	ANCIEN	27/12/1933	01/12/2017	SOCR		commission des affaires sociales	Rhône			Anciens cadres	Enseignement (Retraités)	Professeur retraité
14329V	Mme	Chain-Larché	Anne	ACTIF	11/04/1958		Les Républicains		commission des affaires économiques	Seine-et-Marne		a.chain-larche@senat.fr	Pharmaciens libéraux	Professions médicales (Pharmaciens)	Pharmacienne
14038Y	M.	Chaize	Patrick	ACTIF	22/03/1963		Les Républicains		commission de l'aménagement du territoire et du développement durable	Ain		p.chaize@senat.fr	Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Directeur de syndicat intercommunal
59571X	M.	Chamant	Jean	ANCIEN	23/11/1913	22/12/2010	RPR		commission des lois	Yonne	Vice-président du Sénat		Avocats	Professions judiciaires et libérales (Avocats)	Avocat
000111	M.	Chambaretaud	Léon	ANCIEN	27/10/1904	26/08/1974	NI		commission des affaires étrangères	Rhône			Professions libérales	Professions judiciaires et libérales (Divers)	Agent général d'assurances
83022M	M.	Chambriard	Jean-Paul	ANCIEN	12/07/1929	24/01/1996	RI		commission des affaires étrangères	Haute-Loire			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Chef d'entreprise
000061	M.	Champeix	Marcel	ANCIEN	31/03/1902	07/03/1994	SOCR		commission des lois	Corrèze			Professions intermédiaires administratives de la fonction publique	Fonctionnaires (Cadres moyens)	Directeur de services industriels
000038	M.	Champleboux	Michel	ANCIEN	27/03/1901	08/03/1967	SOCR		commission de l'économie	Puy-de-Dôme			Ingenieurs et cadres techniques d'entreprise	Salariés (Ingénieurs)	Ingénieur électricien
81015E	M.	Charasse	Michel	ANCIEN	08/07/1941		RDSE		commission des finances	Puy-de-Dôme			Anciens cadres	Fonctionnaires (Hauts Fonctionnaires)	Fonctionnaire de l'Etat
92016Q	M.	Charmant	Marcel	ANCIEN	26/07/1944		SOCR		commission des lois	Nièvre			Cadres d'entreprise	Salariés (Cadres divers)	Cadre de Compagnie d'assurance
11080N	M.	Charon	Pierre	ACTIF	01/03/1951		Les Républicains		commission des affaires étrangères	Paris		p.charon@senat.fr	Autres personnes sans activité professionnelle	Commerce et industrie (Retraités)	Consultant en communication
000191	M.	Charpentier	Maurice	ANCIEN	21/07/1908	19/08/1965	RI		commission de la culture	Loiret			Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
000572	M.	Charretier	Maurice	ANCIEN	17/09/1926	30/09/1987	U.R.E.I.		commission des lois	Vaucluse			Avocats	Professions judiciaires et libérales (Avocats)	Avocat
95018F	M.	Charzat	Michel	ANCIEN	25/12/1942		SOCR		commission de la culture	Paris		Non public	Professions libérales	Professions judiciaires et libérales (Divers)	Consultant d'entreprise
14195A	M.	Chasseing	Daniel	ACTIF	10/04/1945		Les Indépendants		commission des affaires sociales	Corrèze		d.chasseing@senat.fr	Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
08057C	M.	Chastan	Yves	ANCIEN	20/04/1948		SOCR		commission de l'aménagement du territoire et du développement durable	Ardèche		y.chastan@senat.fr	Professions intermédiaires administratives de la fonction publique	Fonctionnaires (Cadres moyens)	Cadre territorial
000439	M.	Chatelain	Fernand	ANCIEN	31/01/1920	11/06/1979	C		commission de l'économie	Val-d'Oise			Instituteurs et assimilés	Enseignement primaire	Instituteur
08028W	M.	Chatillon	Alain	ACTIF	15/03/1943		Les Républicains	Rattaché	commission des affaires économiques	Haute-Garonne		a.chatillon@senat.fr	Artisans, commercants et chefs d'entreprise	Commerce et industrie (Chefs d'entreprises)	Chef d'entreprise
77012W	M.	Chaumont	Jacques	ANCIEN	17/11/1934		Les Républicains		commission des finances	Sarthe			Anciens cadres	Fonctionnaires (Retraités)	Secrétaire des Affaires étrangères (honoraire)
59221C	M.	Chauty	Michel	ANCIEN	11/02/1924	16/08/2007	RPR		commission des affaires étrangères	Loire-Atlantique			Commercants et assimilés	Commerce et industrie (Négociants)	Représentant de tissages
04099V	M.	Chauveau	Jean-Pierre	ANCIEN	08/11/1942		Les Républicains		commission de la culture	Sarthe		jp.chauveau@senat.fr	Cadres d'entreprise	Salariés (Cadres divers)	Cadre de l'industrie
000272	M.	Chauvin	Adolphe	ANCIEN	07/06/1911	03/02/1989	UC		commission de la culture	Val-d'Oise			Instituteurs et assimilés	Enseignement secondaire	Professeur
19467C	Mme	Chauvin	Marie-Christine	ACTIF	20/11/1954		Les Républicains		commission des affaires économiques	Jura		mc.chauvin@senat.fr	Retraités	Salariés (Retraités)	Ancienne responsable hospitalière
000222	M.	Chavanac	Albert	ANCIEN	19/10/1909	14/09/1972	U.D.R.		commission de l'économie	Paris			Professions libérales	Professions judiciaires et libérales (Divers)	Administrateur de sociétés
58113U	M.	Chazalon	André	ANCIEN	18/03/1924	14/07/2014	RP		commission des affaires sociales	Loire			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Directeur d'entreprise
58349P	M.	Chazelle	René	ANCIEN	24/07/1917	13/04/2006	SOCR		commission des finances	Haute-Loire			Anciens cadres	Professions judiciaires et libérales (Retraités)	Magistrat
77013X	M.	Chérioux	Jean	ANCIEN	16/02/1928	25/04/2016	Les Républicains		commission des affaires sociales	Paris		Non public	Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Administrateur de sociétés
58419L	M.	Cherrier	Lionel	ANCIEN	17/11/1929	25/10/2016	U.R.E.I.		commission des lois	Nouvelle-Calédonie			Ingenieurs et cadres techniques d'entreprise	Salariés (Ingénieurs)	Ingénieur
81010Y	M.	Chervy	William	ANCIEN	03/06/1937		SOCR		commission de l'économie	Creuse			Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
000723	M.	Chevalier	Robert	ANCIEN	14/10/1896	17/03/1971	U.N.R.		commission des lois	Sarthe			Huissiers de justice, officiers ministériels et professions libérales divers	Professions judiciaires et libérales (Officiers ministériels)	Notaire
000715	M.	Chevallier	Paul	ANCIEN	12/12/1893	28/12/1971	G.D.		commission des finances	Savoie			Artisans, commercants et chefs d'entreprise	Commerce et industrie (Négociants)	Limonadier
08013P	Mme	Chevé	Jacqueline	ANCIEN	21/08/1961	15/03/2010	SOCR		commission des affaires sociales	Côtes-d'Armor		j.cheve@senat.fr	Professions intermédiaires de la santé et du travail social	Fonctionnaires (Divers)	Directrice de foyer logement
02053W	M.	Chevènement	Jean-Pierre	ANCIEN	09/03/1939		RDSE		commission des affaires étrangères	Territoire de Belfort		jp.chevenement@senat.fr	Cadres de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Conseiller du commerce extérieur
18083K	M.	Chevrollier	Guillaume	ACTIF	27/10/1974		Les Républicains		commission de l'aménagement du territoire et du développement durable	Mayenne		g.chevrollier@senat.fr	Cadres d'entreprise	Salariés (Cadres divers)	Directeur de programmes immobiliers
59527T	M.	Chinaud	Roger	ANCIEN	06/09/1934		RI		commission de la culture	Paris	Vice-président du Sénat		Cadres de la publicité; cadres des relations publiques	Professions libérales (Publicistes)	Publiciste
11042G	M.	Chiron	Jacques	ANCIEN	03/10/1949		SOCR		commission des finances	Isère		j.chiron@senat.fr	Autres personnes sans activité professionnelle	Fonctionnaires (Divers)	Agent de la DGCCRF
000195	M.	Chochoy	Bernard	ANCIEN	14/08/1908	23/04/1981	SOCR		commission de la culture	Pas-de-Calais			Instituteurs et assimilés	Enseignement primaire	Instituteur
59222D	M.	Chupin	Auguste	ANCIEN	29/09/1919	09/03/2007	UC		commission de l'économie	Maine-et-Loire			Pharmaciens libéraux	Professions médicales (Pharmaciens)	Pharmacien
58923X	M.	Ciccolini	Félix	ANCIEN	02/10/1916	01/05/2010	SOCR		commission des lois	Bouches-du-Rhône	Vice-président du Sénat		Avocats	Professions judiciaires et libérales (Avocats)	Avocat
14267Y	M.	Cigolotti	Olivier	ACTIF	16/08/1963		UC		commission des affaires étrangères	Haute-Loire		o.cigolotti@senat.fr	Cadres de la fonction publique	Salariés (Permanents politiques)	Directeur général d'un foyer de jeunes travailleurs
56819Q	M.	Claireaux	Henri	ANCIEN	03/02/1911	31/07/2001	RP		commission de l'économie	Saint-Pierre-et-Miquelon			Instituteurs et assimilés	Enseignement primaire	Instituteur
11023D	Mme	Claireaux	Karine	ANCIEN	15/11/1963		LaREM		commission des affaires sociales	Saint-Pierre-et-Miquelon		k.claireaux@senat.fr	Autres personnes sans activité professionnelle	Fonctionnaires (Cadres moyens)	Fonctionnaire des douanes
000060	M.	Claparede	Emile	ANCIEN	02/03/1902	03/08/1967	G.D.		commission des affaires sociales	Hérault			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Viticulteur
04016A	M.	Claudel	Gérard	ANCIEN	23/02/1925		Les Républicains	Apparenté	commission de l'économie	Val-d'Oise		Non public	Agriculteurs exploitants	Professions agricoles	Entrepreneur de travaux agricoles
95019G	M.	Cléach	Marcel-Pierre	ANCIEN	16/01/1934	18/03/2019	Les Républicains		commission des affaires étrangères	Sarthe		mp.cleach@senat.fr	Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Administrateur de sociétés
000726	M.	Clerc	Jean	ANCIEN	15/04/1892	09/03/1966	RP		commission des affaires étrangères	Haute-Savoie			Commercants et assimilés	Commerce et industrie (Négociants)	Négociant
86018E	M.	Clouet	Jean	ANCIEN	07/05/1921	20/10/2008	Les Républicains		commission des finances	Val-de-Marne			Anciens artisans, commercants, chefs d'entreprise	Commerce et industrie (Retraités)	Retraité
71009B	M.	Cluzel	Jean	ANCIEN	18/11/1923		UC		commission des finances	Allier			Autres personnes sans activité professionnelle	Sans profession déclarée	Sans profession déclarée
000058	M.	Cogniot	Georges	ANCIEN	15/12/1901	12/03/1978	C		commission de la culture	Paris			Instituteurs et assimilés	Enseignement secondaire	Professeur agrégé
11031D	Mme	Cohen	Laurence	ACTIF	15/01/1953		CRCE		commission des affaires sociales	Val-de-Marne		l.cohen@senat.fr	Autres personnes sans activité professionnelle	Professions judiciaires et libérales (Retraités)	Orthophoniste
01063U	M.	Cointat	Christian	ANCIEN	11/07/1943		Les Républicains		commission des lois	Français établis hors de France		c.cointat@senat.fr	Autres personnes sans activité professionnelle	Fonctionnaires (Hauts Fonctionnaires)	Directeur général au Parlement européen
000235	M.	Colin	André	ANCIEN	19/01/1910	29/08/1978	U.C.D.P.		commission des affaires étrangères	Finistère			Professeurs, professions scientifiques	Enseignement supérieur (sauf Professeurs de médecine)	Universitaire
58805S	M.	Colin	Jean	ANCIEN	21/03/1923	04/05/2006	UC		commission de l'économie	Essonne			Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Ancien administrateur des PTT
81014D	M.	Collard	Henri	ANCIEN	11/04/1928	13/01/2012	RDSE		commission des finances	Eure			Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
000494	M.	Collery	Jean	ANCIEN	01/07/1922	18/03/1976	U.C.D.P.		commission de la culture	Marne			Agriculteurs exploitants	Professions agricoles	Viticulteur
000501	M.	Collet	François	ANCIEN	09/02/1923	27/09/1994	RPR		commission des lois	Paris			Ingenieurs et cadres techniques d'entreprise	Salariés (Ingénieurs)	Ingénieur
59223E	M.	Collette	Henri	ANCIEN	30/05/1922	12/12/1998	RPR		commission de l'économie	Pas-de-Calais			Huissiers de justice, officiers ministériels et professions libérales divers	Professions judiciaires et libérales (Officiers ministériels)	Notaire
88008L	M.	Collin	Yvon	ACTIF	10/04/1944		RDSE		commission des finances	Tarn-et-Garonne		y.collin@senat.fr	Personnels de direction de la fonction publique	Fonctionnaires (Retraités)	Directeur de Cabinet
59528U	M.	Collomb	Francisque	ANCIEN	19/12/1910	24/07/2009	UC	Rattaché	commission de l'économie	Rhône			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Industriel
99002P	M.	Collomb	Gérard	ANCIEN	20/06/1947		NI		Aucune (Président du Sénat)	Rhône		g.collomb@senat.fr	Professeurs, professions scientifiques	Enseignement secondaire	Professeur agrégé de lettres classiques
04038G	M.	Collombat	Pierre-Yves	ACTIF	18/07/1945		CRCE	Rattaché	commission des lois	Var		py.collombat@senat.fr	Professeurs, professions scientifiques	Enseignement (Retraités)	Professeur agrégé de philosophie
14209N	M.	Commeinhes	François	ANCIEN	10/11/1949		Les Républicains		commission de la culture	Hérault		f.commeinhes@senat.fr	Médecins hospitaliers (sans activité libérale)	Professions médicales (Chirurgiens)	Médecin gynécologue
19295A	Mme	Conconne	Catherine	ACTIF	18/05/1963		SOCR		commission des affaires économiques	Martinique		c.conconne@senat.fr	Autres personnes sans activité professionnelle	Autres professions	
19812Y	Mme	Constant	Agnès	ACTIF	16/04/1962		LaREM	Apparenté	commission des affaires économiques	Hérault		a.constant@senat.fr	Autres personnes sans activité professionnelle	Sans profession déclarée	Conjoint d'exploitant agricole
000196	M.	Constant	Georges	ANCIEN	14/08/1908	16/10/1989	G.D.		commission des affaires étrangères	Lot			Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
11027H	Mme	Conway-Mouret	Hélène	ACTIF	13/09/1960		SOCR		commission des affaires étrangères	Français établis hors de France	Vice-présidente du Sénat	h.conway-mouret@senat.fr	Autres personnes sans activité professionnelle	Enseignement supérieur (sauf Professeurs de médecine)	Professeure d'université
57710G	M.	Coppenrath	Gérald	ANCIEN	27/04/1922	05/11/2008	U.N.R.		commission de la culture	Polynésie française			Avocats	Professions judiciaires et libérales (Avocats)	Avocat
01035Q	M.	Coquelle	Yves	ANCIEN	19/12/1939	07/04/2015	CRCE		commission de l'économie	Pas-de-Calais		y.coquelle@senat.fr	Autres personnes sans activité professionnelle	Salariés (Ouvriers)	Carreleur
19681G	M.	Corbisez	Jean-Pierre	ACTIF	07/03/1960		RDSE		commission de l'aménagement du territoire et du développement durable	Pas-de-Calais		jp.corbisez@senat.fr	Ingenieurs et cadres techniques d'entreprise	Salariés (Ingénieurs)	Ingénieur en aménagement du territoire
89011K	M.	Cornac	Claude	ANCIEN	01/10/1939	12/01/1996	SOCR		commission des lois	Haute-Garonne			Cadres d'entreprise	Salariés (Cadres divers)	Cadre commercial
11114F	M.	Cornano	Jacques	ANCIEN	18/11/1956		LaREM		commission de l'aménagement du territoire et du développement durable	Guadeloupe		j.cornano@senat.fr	Autres personnes sans activité professionnelle	Enseignement secondaire	Professeur de génie électrique
000073	M.	Cornat	Henri	ANCIEN	14/02/1903	16/06/1968	RI		commission de l'économie	Manche			Ingenieurs et cadres techniques d'entreprise	Salariés (Ingénieurs)	Ingénieur
000763	M.	Cornu	André	ANCIEN	27/06/1892	05/02/1980	G.D.		commission de la culture	Côtes-du-Nord			Artisans, commercants et chefs d'entreprise	Commerce et industrie (Chefs d'entreprises)	Industriel
