Matricule	Qualite	Nom usuel	Prenom usuel	Etat Senateur	Identifiant mandat	Date d'election	Date de debut de mandat	Annee de debut de mandat	Motif debut de mandat	Date de fin de mandat	Annee de fin de mandat	Motif fin de mandat	Commentaire
02003L	Mme	Bout	Brigitte	ANCIEN	6741		08/06/2002		Remplace	30/09/2011		Ne se représente pas	En remplacement de M. Jean-Paul Delevoye, nommé membre du gouvernement
08058D	M.	Boutant	Michel	ACTIF	11714	21/09/2008	01/10/2008		Election	30/09/2014		Fin de mandat	
08058D	M.	Boutant	Michel	ACTIF	14278	28/09/2014	01/10/2014		Renouvellement			En Cours	
000140	M.	Boutemy	André	ANCIEN	2209		28/04/1959		Election	14/07/1959	1959	Décédé	
000140	M.	Boutemy	André	ANCIEN	10558		08/06/1958		Renouvellement	27/04/1959		Fin de mandat	
14175V	M.	Bouvard	Michel	ANCIEN	14305	28/09/2014	01/10/2014		Election	01/06/2017		Démissionnaire	
000391	M.	Bouvard	Robert	ANCIEN	2211	26/04/1959	28/04/1959		Election	01/10/1965		Fin de mandat	
000391	M.	Bouvard	Robert	ANCIEN	2212	26/09/1965	02/10/1965		Renouvellement	01/10/1974		Ne se représente pas	
59568D	M.	Bouvier	Raymond	ANCIEN	2215	25/09/1977	03/10/1977		Election	01/10/1986		Fin de mandat	
59568D	M.	Bouvier	Raymond	ANCIEN	2216	28/09/1986	02/10/1986		Renouvellement	01/10/1995		Non réélu	
88004G	M.	Boyer	André	ANCIEN	96		13/06/1988		Remplace	01/10/1992		Fin de mandat	En remplacement de M. Maurice FAURE, nommé membre du Gouvernement
88004G	M.	Boyer	André	ANCIEN	97	27/09/1992	02/10/1992		Renouvellement 1	30/09/2001		Fin de mandat	
88004G	M.	Boyer	André	ANCIEN	6366	23/09/2001	01/10/2001		Renouvellement 2	24/09/2008	2008	Décédé	
92014N	M.	Boyer	Eric	ANCIEN	2218	27/09/1992	02/10/1992		Election	20/01/1996		Dech. par CC	
58951C	M.	Boyer	Eugène	ANCIEN	2220		29/07/1988		Remplace	01/10/1989		Non réélu	En remplacement de M. André MERIC, nommé membre du Gouvernement
01052R	M.	Boyer	Jean	ANCIEN	6502	23/09/2001	01/10/2001		Election	30/09/2011		Fin de mandat	
01052R	M.	Boyer	Jean	ANCIEN	12643	25/09/2011	01/10/2011		Renouvellement 1	03/11/2014		Démissionnaire	
83018R	M.	Boyer	Jean	ANCIEN	98	25/09/1983	03/10/1983		Election	01/10/1992		Fin de mandat	
83018R	M.	Boyer	Jean	ANCIEN	99	27/09/1992	02/10/1992		Renouvellement 1	30/09/2001		Ne se représente pas	
19383Y	M.	Boyer	Jean-Marc	ACTIF	51238	24/09/2017	02/10/2017		Election			En Cours	
74015M	M.	Boyer	Louis	ANCIEN	100	22/09/1974	02/10/1974		Election	02/10/1983		Fin de mandat	
74015M	M.	Boyer	Louis	ANCIEN	101	25/09/1983	03/10/1983		Renouvellement 1	01/10/1992		Fin de mandat	
74015M	M.	Boyer	Louis	ANCIEN	102	27/09/1992	02/10/1992		Renouvellement 2	30/09/2001		Ne se représente pas	
98049B	Mme	Boyer	Yolande	ANCIEN	5197	27/09/1998	01/10/1998		Election	30/09/2008		Ne se représente pas	
000399	M.	Boyer-Andrivet	Jacques	ANCIEN	2222	26/09/1971	02/10/1971		Election	01/10/1980		Non réélu	
000399	M.	Boyer-Andrivet	Jacques	ANCIEN	2224		21/02/1987		Remplace	01/10/1989		Non réélu	En remplacement de M. Jacques VALADE, nommé ministre
71006X	M.	Braconnier	Jacques	ANCIEN	103	26/09/1971	02/10/1971		Election	01/10/1980		Fin de mandat	
71006X	M.	Braconnier	Jacques	ANCIEN	104	28/09/1980	02/10/1980		Renouvellement 1	01/10/1989		Fin de mandat	
71006X	M.	Braconnier	Jacques	ANCIEN	105	24/09/1989	02/10/1989		Renouvellement 2	30/09/1998		Ne se représente pas	
000756	M.	Brajeux	Jean	ANCIEN	5369		17/11/1957		Election	27/04/1959		Fin de mandat	
000756	M.	Brajeux	Jean	ANCIEN	5370	26/04/1959	28/04/1959		Renouvellement	23/11/1962		Non réélu	
98014P	M.	Branger	Jean-Guy	ANCIEN	5056	27/09/1998	01/10/1998		Election	30/09/2008		Ne se représente pas	
000474	M.	Brantus	Pierre	ANCIEN	2227	25/09/1983	03/10/1983		Election	17/09/1989		Décédé	
95012Y	M.	Braun	Gérard	ANCIEN	106	24/09/1995	02/10/1995		Election	30/09/2004		Ne se représente pas	
000039	M.	Brayard	Joseph	ANCIEN	2229	26/04/1959	28/04/1959		Election	01/10/1962		Fin de mandat	
000039	M.	Brayard	Joseph	ANCIEN	2230	23/09/1962	02/10/1962		Renouvellement	01/10/1971		Non réélu	
95013A	M.	Braye	Dominique	ANCIEN	107	24/09/1995	02/10/1995		Election	30/09/2004		Fin de mandat	
95013A	M.	Braye	Dominique	ANCIEN	10860	26/09/2004	01/10/2004		Renouvellement 1	30/09/2011		Ne se représente pas	
000020	M.	Bregegere	Marcel	ANCIEN	2233		19/06/1955		Election	27/04/1959		Fin de mandat	
000020	M.	Bregegere	Marcel	ANCIEN	2234	26/04/1959	28/04/1959		Renouvellement 1	01/10/1962		Fin de mandat	
000020	M.	Bregegere	Marcel	ANCIEN	2235	23/09/1962	02/10/1962		Renouvellement 2	01/10/1971		Fin de mandat	
000020	M.	Bregegere	Marcel	ANCIEN	2236	26/09/1971	02/10/1971		Renouvellement 3	01/10/1980		Ne se représente pas	
98016R	M.	Bret	Robert	ANCIEN	5064	27/09/1998	01/10/1998		Election	30/09/2008		Ne se représente pas	
04053F	Mme	Bricq	Nicole	ANCIEN	10852	26/09/2004	01/10/2004		Election	30/09/2011		Fin de mandat	
04053F	Mme	Bricq	Nicole	ANCIEN	12727	25/09/2011	01/10/2011		Renouvellement 1	16/06/2012		Membre Gouvernement	
04053F	Mme	Bricq	Nicole	ANCIEN	13761		03/05/2014		Reprise suite à fin fon. membre Gvt	06/08/2017		Décédé	
89023P	Mme	Brisepierre	Paulette	ANCIEN	108	24/09/1989	02/10/1989		Election	30/09/1998		Fin de mandat	
89023P	Mme	Brisepierre	Paulette	ANCIEN	5071	27/09/1998	01/10/1998		Renouvellement 1	30/09/2008		Ne se représente pas	
19621T	M.	Brisson	Max	ACTIF	51090	24/09/2017	02/10/2017		Election			En Cours	
59523P	M.	Brives	Louis	ANCIEN	2239	22/09/1968	02/10/1968		Election	02/10/1977		Fin de mandat	
59523P	M.	Brives	Louis	ANCIEN	2240	25/09/1977	03/10/1977		Renouvellement 1	01/10/1986		Fin de mandat	
59523P	M.	Brives	Louis	ANCIEN	2241	28/09/1986	02/10/1986		Renouvellement 2	01/10/1995		Ne se représente pas	
000365	M.	Brosseau	Raymond	ANCIEN	2243		01/11/1975		Remplace	25/09/1977		Ne se représente pas	En remplacement de M. Louis LAMY, démissionnaire
000760	M.	Brousse	Martial	ANCIEN	5375		08/06/1958		Renouvellement 2	27/04/1959		Fin de mandat	
000760	M.	Brousse	Martial	ANCIEN	5376	26/04/1959	28/04/1959		Renouvellement 3	01/10/1965		Fin de mandat	
000760	M.	Brousse	Martial	ANCIEN	5377	26/09/1965	02/10/1965		Renouvellement 4	01/10/1974		Non réélu	
000574	M.	Brousse	Pierre	ANCIEN	2246	22/09/1968	02/10/1968		Election	01/10/1971		Fin de mandat	
000574	M.	Brousse	Pierre	ANCIEN	2247	26/09/1971	02/10/1971		Renouvellement	27/09/1976		Membre Gouvernement	
08020N	Mme	Bruguière	Marie-Thérèse	ACTIF	11551	21/09/2008	01/10/2008		Election	30/09/2014		Non réélu	
08020N	Mme	Bruguière	Marie-Thérèse	ACTIF	51478		01/10/2017		Remplace			En Cours	en remplacement de M. François Commeinhes, démissionnaire de son mandat
19758L	Mme	Brulin	Céline	ACTIF	51591		01/06/2018		Remplace			En Cours	en remplacement de M. Thierry Foucaud, démissionnaire
08007R	M.	Brun	Elie	ANCIEN	11360		19/04/2008		Remplace	13/12/2010		Cessation de mandat	En remplacement de M. Hubert Falco, nommé membre du Gouvernement
000018	M.	Brun	Pierre	ANCIEN	2250	22/09/1968	02/10/1968		Election	02/03/1976		Décédé	
58946F	M.	Brun	Raymond	ANCIEN	2252	26/04/1959	28/04/1959		Election	01/10/1962		Fin de mandat	
58946F	M.	Brun	Raymond	ANCIEN	2253	23/09/1962	02/10/1962		Renouvellement 1	01/10/1971		Fin de mandat	
58946F	M.	Brun	Raymond	ANCIEN	2254	26/09/1971	02/10/1971		Renouvellement 2	01/10/1980		Fin de mandat	
58946F	M.	Brun	Raymond	ANCIEN	2255	28/09/1980	02/10/1980		Renouvellement 3	01/10/1989		Ne se représente pas	
000053	M.	Bruneau	André	ANCIEN	2257		22/11/1963		Remplace	01/10/1968		Ne se représente pas	En remplacement de M. François de NICOLAY, décédé
000035	M.	Brunhes	Julien	ANCIEN	2262		08/06/1958		Renouvellement 2	27/04/1959		Fin de mandat	
000035	M.	Brunhes	Julien	ANCIEN	2263	26/04/1959	28/04/1959		Renouvellement 3	01/10/1968		Non réélu	
000049	M.	Bruyas	Florian	ANCIEN	2267		08/06/1958		Renouvellement 1	27/04/1959		Fin de mandat	
000049	M.	Bruyas	Florian	ANCIEN	2268	26/04/1959	28/04/1959		Renouvellement 2	01/10/1968		Ne se représente pas	
57432D	M.	Bruyneel	Robert	ANCIEN	2271		04/10/1961		Remplace	01/10/1965		Fin de mandat	En remplacement de M. Jacques BOISROND, nommé membre du Gouvernement
57432D	M.	Bruyneel	Robert	ANCIEN	2272	26/09/1965	02/10/1965		Renouvellement	01/10/1974		Ne se représente pas	
04047H	M.	Buffet	François-Noël	ACTIF	10831	26/09/2004	01/10/2004		Election	30/09/2014		Fin de mandat	
04047H	M.	Buffet	François-Noël	ACTIF	14122	28/09/2014	01/10/2014		Renouvellement			En Cours	
19782L	M.	Buis	Bernard	ACTIF	51644		17/11/2018		Remplace			En Cours	en remplacement de M. Didier Guillaume, membre du Gouvernement
000010	M.	Burgat	Gabriel	ANCIEN	9518	31/05/1959	31/05/1959		Election	04/07/1962		Cessation de mandat (1962)	
000150	M.	Burret	Robert	ANCIEN	2274		24/10/1960		Remplace	01/10/1965		Non réélu	En remplacement de M. Antoine BEGUERE, décédé
59524Q	M.	Cabana	Camille	ANCIEN	2277		10/02/1991		Election	24/09/1995		Ne se représente pas	
83020K	M.	Cabanel	Guy-Pierre	ANCIEN	109	25/09/1983	03/10/1983		Election	01/10/1992		Fin de mandat	
83020K	M.	Cabanel	Guy-Pierre	ANCIEN	110	27/09/1992	02/10/1992		Renouvellement 1	30/09/2001		Ne se représente pas	
14207L	M.	Cabanel	Henri	ACTIF	14105	28/09/2014	01/10/2014		Election			En Cours	
58366Q	M.	Cabocel	Rémi	ANCIEN	2279		29/07/1983		Remplace	02/10/1983		Ne se représente pas	En remplacement de M. René JAGER, décédé
14255U	M.	Cadic	Olivier	ACTIF	14268	28/09/2014	01/10/2014		Election			En Cours	
04066L	M.	Caffet	Jean-Pierre	ANCIEN	10894	26/09/2004	01/10/2004		Election	30/09/2011		Fin de mandat	
04066L	M.	Caffet	Jean-Pierre	ANCIEN	12733	25/09/2011	01/10/2011		Renouvellement 1	01/10/2017		Ne se représente pas	
58411C	M.	Caillavet	Henri	ANCIEN	2280		11/06/1967		Remplace	01/10/1974		Fin de mandat	En remplacement de M. Jacques BORDENEUVE, élu député
58411C	M.	Caillavet	Henri	ANCIEN	2281	22/09/1974	02/10/1974		Renouvellement	02/10/1983		Non réélu	
000538	M.	Caiveau	Louis	ANCIEN	2283		10/09/1981		Remplace	01/10/1986		Fin de mandat	En remplacement de M. Lionel de TINGUY du POUET, décédé
000538	M.	Caiveau	Louis	ANCIEN	2284	28/09/1986	02/10/1986		Renouvellement	27/02/1987		Décédé	
77009C	M.	Caldaguès	Michel	ANCIEN	111	25/09/1977	03/10/1977		Election	27/09/1986		Fin de mandat	
77009C	M.	Caldaguès	Michel	ANCIEN	112	28/09/1986	02/10/1986		Renouvellement 1	01/10/1995		Fin de mandat	
77009C	M.	Caldaguès	Michel	ANCIEN	113	24/09/1995	02/10/1995		Renouvellement 2	30/09/2002		Démissionnaire	
86014A	M.	Calméjane	Robert	ANCIEN	114	28/09/1986	02/10/1986		Election	01/10/1995		Fin de mandat	
86014A	M.	Calméjane	Robert	ANCIEN	115	24/09/1995	02/10/1995		Renouvellement 1	10/12/2002	2002	Décédé	
000735	M.	Calmels	Gabriel	ANCIEN	5380		28/09/1976		Remplace	03/09/1979		Décédé	En remplacement de M. Pierre BROUSSE, nommé membre du Gouvernement
11101A	M.	Calvet	François	ACTIF	12659	25/09/2011	01/10/2011		Election	01/10/2017		Fin de mandat	
11101A	M.	Calvet	François	ACTIF	51074	24/09/2017	02/10/2017		Renouvellement 1			En Cours	
11095V	M.	Camani	Pierre	ANCIEN	12618	25/09/2011	01/10/2011		Election	01/10/2017		Ne se représente pas	
04042C	M.	Cambon	Christian	ACTIF	10806	26/09/2004	01/10/2004		Election	30/09/2011		Fin de mandat	
04042C	M.	Cambon	Christian	ACTIF	12752	25/09/2011	01/10/2011		Renouvellement 1	01/10/2017		Fin de mandat	
04042C	M.	Cambon	Christian	ACTIF	51191	24/09/2017	02/10/2017		Renouvellement 2			En Cours	
89024Q	M.	Camoin	Jean-Pierre	ANCIEN	116	24/09/1989	02/10/1989		Election	30/09/1998		Ne se représente pas	
00003C	Mme	Campion	Claire-Lise	ANCIEN	5867		28/04/2000		Remplace	30/09/2004		Fin de mandat	En remplacement de M. Jean-Luc Mélenchon, nommé membre du Gouvernement 
00003C	Mme	Campion	Claire-Lise	ANCIEN	10835	26/09/2004	01/10/2004		Renouvellement 1	30/09/2011		Fin de mandat	
00003C	Mme	Campion	Claire-Lise	ANCIEN	12592	25/09/2011	01/10/2011		Renouvellement 2	01/10/2017		Non réélu	
14053L	Mme	Canayer	Agnès	ACTIF	14233	28/09/2014	01/10/2014		Election			En Cours	
14083S	M.	Canevet	Michel	ACTIF	14102	28/09/2014	01/10/2014		Election			En Cours	
77002U	M.	Cantegrit	Jean-Pierre	ANCIEN	117		04/03/1977		Remplace	02/10/1983		Fin de mandat	En remplacement de M. Louis GROS, nommé membre du Conseil Constitutionnel
77002U	M.	Cantegrit	Jean-Pierre	ANCIEN	118	25/09/1983	03/10/1983		Renouvellement 1	26/09/1992		Fin de mandat	
77002U	M.	Cantegrit	Jean-Pierre	ANCIEN	119	27/09/1992	02/10/1992		Renouvellement 2	30/09/2001		Fin de mandat	
77002U	M.	Cantegrit	Jean-Pierre	ANCIEN	6453	23/09/2001	01/10/2001		Renouvellement 3	30/09/2011		Fin de mandat	
77002U	M.	Cantegrit	Jean-Pierre	ANCIEN	12680	25/09/2011	01/10/2011		Renouvellement 4	01/10/2017		Ne se représente pas	
000755	M.	Capelle	Omer	ANCIEN	5384		08/06/1958		Renouvellement 2	27/04/1959		Fin de mandat	
000755	M.	Capelle	Omer	ANCIEN	5385	26/04/1959	28/04/1959		Renouvellement 3	26/05/1966		Décédé	
11053K	M.	Capo-Canellas	Vincent	ACTIF	12749	25/09/2011	01/10/2011		Election	01/10/2017		Fin de mandat	
11053K	M.	Capo-Canellas	Vincent	ACTIF	51209	24/09/2017	02/10/2017		Renouvellement			En Cours	
19545Y	M.	Capus	Emmanuel	ACTIF	51106	24/09/2017	02/10/2017		Election			En Cours	
59525R	M.	Carat	Jacques	ANCIEN	2286	22/09/1968	02/10/1968		Election	02/10/1977		Fin de mandat	
59525R	M.	Carat	Jacques	ANCIEN	2287	25/09/1977	03/10/1977		Renouvellement 1	01/10/1986		Fin de mandat	
59525R	M.	Carat	Jacques	ANCIEN	2288	28/09/1986	02/10/1986		Renouvellement 2	01/10/1995		Ne se représente pas	
000076	M.	Carcassonne	Roger	ANCIEN	2292		19/06/1955		Renouvellement 2	27/04/1959		Fin de mandat	
000076	M.	Carcassonne	Roger	ANCIEN	2293	26/04/1959	28/04/1959		Renouvellement 3	01/10/1962		Fin de mandat	
000076	M.	Carcassonne	Roger	ANCIEN	2294	23/09/1962	02/10/1962		Renouvellement	01/10/1971		Ne se représente pas	
14085U	M.	Carcenac	Thierry	ACTIF	14296	28/09/2014	01/10/2014		Election			En Cours	
000722	Mme	Cardot	Marie-Hélène	ANCIEN	5389		19/06/1955		Renouvellement 2	27/04/1959		Fin de mandat	
000722	Mme	Cardot	Marie-Hélène	ANCIEN	5390	26/04/1959	28/04/1959		Renouvellement 3	01/10/1962		Fin de mandat	
000722	Mme	Cardot	Marie-Hélène	ANCIEN	5391	23/09/1962	02/10/1962		Renouvellement 4	01/10/1971		Ne se représente pas	
11103C	M.	Cardoux	Jean-Noël	ACTIF	12646	25/09/2011	01/10/2011		Election	01/10/2017		Fin de mandat	
11103C	M.	Cardoux	Jean-Noël	ACTIF	51140	24/09/2017	02/10/2017		Renouvellement 1			En Cours	
95015C	M.	Carle	Jean-Claude	ANCIEN	120	24/09/1995	02/10/1995		Election	30/09/2004		Fin de mandat	
95015C	M.	Carle	Jean-Claude	ANCIEN	10757	26/09/2004	01/10/2004		Renouvellement 1	30/09/2014		Fin de mandat	
95015C	M.	Carle	Jean-Claude	ANCIEN	14186	28/09/2014	01/10/2014		Renouvellement 2	06/08/2018		Démissionnaire	
59526S	M.	Caron	Paul	ANCIEN	2297		02/04/1973		Remplace	02/10/1977		Non réélu	En remplacement de M. Jean LECANUET, élu député
59526S	M.	Caron	Paul	ANCIEN	2299		02/04/1986		Remplace	01/10/1986		Fin de mandat	En remplacement de M. Jean LECANUET, élu député
59526S	M.	Caron	Paul	ANCIEN	2300	28/09/1986	02/10/1986		Renouvellement 1	01/10/1995		Ne se représente pas	
000326	M.	Carous	Pierre	ANCIEN	2302	26/09/1965	02/10/1965		Election	01/10/1974		Fin de mandat	
000326	M.	Carous	Pierre	ANCIEN	2303	22/09/1974	02/10/1974		Renouvellement 1	02/10/1983		Fin de mandat	
000326	M.	Carous	Pierre	ANCIEN	2304	25/09/1983	03/10/1983		Renouvellement 2	14/01/1990		Décédé	
92015P	M.	Carrère	Jean-Louis	ANCIEN	121	27/09/1992	02/10/1992		Election	30/09/2001		Fin de mandat	
92015P	M.	Carrère	Jean-Louis	ANCIEN	6364	23/09/2001	01/10/2001		Renouvellement 1	30/09/2011		Fin de mandat	
92015P	M.	Carrère	Jean-Louis	ANCIEN	12437	25/09/2011	01/10/2011		Renouvellement 2	01/10/2017		Ne se représente pas	
19629C	Mme	Carrère	Maryse	ACTIF	51068	24/09/2017	02/10/2017		Election			En Cours	
000003	M.	Carrier	Maurice	ANCIEN	2306	05/05/1959	05/05/1959		Election	01/10/1965		Fin de mandat	
000003	M.	Carrier	Maurice	ANCIEN	2307	02/10/1965	02/10/1965		Renouvellement	01/10/1974		Ne se représente pas	
59569E	M.	Cartigny	Ernest	ANCIEN	2310	28/09/1986	02/10/1986		Election	01/10/1995		Non réélu	
59569E	M.	Cartigny	Ernest	ANCIEN	6777		11/12/2002		Remplace	30/09/2004		Ne se représente pas	En remplacement de M. Robert Calméjane, décédé.
08024S	Mme	Cartron	Françoise	ACTIF	11571	21/09/2008	01/10/2008		Election	30/09/2014		Fin de mandat	
08024S	Mme	Cartron	Françoise	ACTIF	14213	28/09/2014	01/10/2014		Renouvellement			En Cours	
11032E	M.	Carvounas	Luc	ANCIEN	12742	25/09/2011	01/10/2011		Election	28/07/2017		Élu député	
89008Q	M.	Castaing	Robert	ANCIEN	122	24/09/1989	02/10/1989		Election	30/09/1998		Non réélu	
14201E	M.	Castelli	Joseph	ACTIF	14284	28/09/2014	01/10/2014		Election			En Cours	
58936D	M.	Castex	Marc	ANCIEN	2312	28/09/1980	02/10/1980		Election	01/10/1989		Ne se représente pas	
000350	M.	Cathala	Charles	ANCIEN	2314	22/09/1968	02/10/1968		Election	02/10/1977		Non réélu	
000327	M.	Cauchon	Jean	ANCIEN	2320	26/09/1971	02/10/1971		Election	01/10/1980		Fin de mandat	
000327	M.	Cauchon	Jean	ANCIEN	2321	28/09/1980	02/10/1980		Renouvellement	01/10/1989		Ne se représente pas	
000510	M.	Caupert	Joseph	ANCIEN	2325		28/05/1985		Remplace	01/10/1992		Fin de mandat	En remplacement de M. Jules ROUJON, décédé
000510	M.	Caupert	Joseph	ANCIEN	2326	27/09/1992	02/10/1992		Renouvellement 1	09/09/1994		Décédé	
58202U	M.	Cavaillé	Marcel	ANCIEN	2328	26/09/1971	02/10/1971		Election	09/07/1974		Membre Gouvernement	
92046W	M.	Cavalier-Benezet	Francis	ANCIEN	123	20/12/1992	21/12/1992		Remplace	30/09/1998		Ne se représente pas	En remplacement de M. Gilbert Baumet, nommé membre du Gouvernement
11044J	Mme	Cayeux	Caroline	ANCIEN	12694	25/09/2011	01/10/2011		Election	01/10/2017		Ne se représente pas	
59601L	M.	Cayrel	Raymond	ANCIEN	2330		01/05/1993		Remplace	09/11/1995		Démissionnaire	En remplacement de M. Jean Puech, nommé membre du Gouvernement
19721W	M.	Cazabonne	Alain	ACTIF	51456		01/10/2017		Remplace			En Cours	en remplacement de Mme Marie-Hélène Des Esgaulx, démissionnaire de son mandat
83021L	M.	Cazalet	Auguste	ANCIEN	124	25/09/1983	03/10/1983		Election	01/10/1992		Fin de mandat	
83021L	M.	Cazalet	Auguste	ANCIEN	125	27/09/1992	02/10/1992		Renouvellement 1	30/09/2001		Fin de mandat	
83021L	M.	Cazalet	Auguste	ANCIEN	6425	23/09/2001	01/10/2001		Renouvellement 2	30/09/2011		Ne se représente pas	
98029W	M.	Cazeau	Bernard	ACTIF	5117	27/09/1998	01/10/1998		Election	30/09/2008		Fin de mandat	
98029W	M.	Cazeau	Bernard	ACTIF	11510	21/09/2008	01/10/2008		Renouvellement 1	30/09/2014		Fin de mandat	
98029W	M.	Cazeau	Bernard	ACTIF	14261	28/09/2014	01/10/2014		Renouvellement			En Cours	
58657Y	M.	Ceccaldi-Pavard	Pierre	ANCIEN	2332	25/09/1977	03/10/1977		Election	01/10/1986		Non réélu	
95016D	M.	Ceccaldi-Raynaud	Charles	ANCIEN	126	24/09/1995	02/10/1995		Election	30/09/2004		Ne se représente pas	
92008Q	Mme	Cerisier-ben Guiga	Monique	ANCIEN	127	27/09/1992	02/10/1992		Election	30/09/2001		Fin de mandat	
92008Q	Mme	Cerisier-ben Guiga	Monique	ANCIEN	6454	23/09/2001	01/10/2001		Renouvellement 1	30/09/2011		Ne se représente pas	
90003B	M.	César	Gérard	ANCIEN	128		15/06/1990		Remplace	30/09/1998		Fin de mandat	En remplacement de M. Jean-François Pintat, décédé
90003B	M.	César	Gérard	ANCIEN	5079	27/09/1998	01/10/1998		Renouvellement 1	30/09/2008		Fin de mandat	
90003B	M.	César	Gérard	ANCIEN	11559	21/09/2008	01/10/2008		Renouvellement 2	30/09/2014		Fin de mandat	
90003B	M.	César	Gérard	ANCIEN	14212	28/09/2014	01/10/2014		Renouvellement 3	30/09/2017		Démissionnaire	
000257	M.	Chabaraka	Ahmed	ANCIEN	9521		19/07/1961		Remplace	04/07/1962		Cessation de mandat (1962)	En remplacement de M. Benaissa SASSI
95017E	M.	Chabroux	Gilbert	ANCIEN	129	24/09/1995	02/10/1995		Election	30/09/2004		Ne se représente pas	
14329V	Mme	Chain-Larché	Anne	ACTIF	15242		12/10/2015		Remplace	01/10/2017		Fin de mandat	en remplacement de M. Jean-Jacques Hyest, nommé membre du Conseil Constitutionnel
14329V	Mme	Chain-Larché	Anne	ACTIF	51120	24/09/2017	02/10/2017		Renouvellement			En Cours	
14038Y	M.	Chaize	Patrick	ACTIF	14152	28/09/2014	01/10/2014		Election			En Cours	
59571X	M.	Chamant	Jean	ANCIEN	2334	25/09/1977	03/10/1977		Election	01/10/1986		Fin de mandat	
59571X	M.	Chamant	Jean	ANCIEN	2335	28/09/1986	02/10/1986		Renouvellement 1	01/10/1995		Non réélu	
000111	M.	Chambaretaud	Léon	ANCIEN	2337	22/09/1968	02/10/1968		Election	26/08/1974		Décédé	
83022M	M.	Chambriard	Jean-Paul	ANCIEN	2339	25/09/1983	03/10/1983		Election	01/10/1992		Fin de mandat	
83022M	M.	Chambriard	Jean-Paul	ANCIEN	2340	27/09/1992	02/10/1992		Renouvellement 1	24/01/1996		Décédé	
000061	M.	Champeix	Marcel	ANCIEN	2344		19/06/1955		Renouvellement 2	27/04/1959		Fin de mandat	
000061	M.	Champeix	Marcel	ANCIEN	2345	26/04/1959	28/04/1959		Renouvellement 3	01/10/1962		Fin de mandat	
000061	M.	Champeix	Marcel	ANCIEN	2346	23/09/1962	02/10/1962		Renouvellement	01/10/1971		Fin de mandat	
000061	M.	Champeix	Marcel	ANCIEN	2347	26/09/1971	02/10/1971		Renouvellement	01/10/1980		Non réélu	
000038	M.	Champleboux	Michel	ANCIEN	2351	26/04/1959	28/04/1959		Renouvellement 1	01/10/1965		Fin de mandat	
000038	M.	Champleboux	Michel	ANCIEN	2352	26/09/1965	02/10/1965		Renouvellement 2	08/03/1967		Décédé	
81015E	M.	Charasse	Michel	ANCIEN	130		28/10/1981		Remplace	02/10/1983		Fin de mandat	En remplacement de M. Roger QUILLIOT, nommé membre du Gouvernement
81015E	M.	Charasse	Michel	ANCIEN	131	25/09/1983	03/10/1983		Renouvellement 1	27/07/1988		Membre Gouvernement	
81015E	M.	Charasse	Michel	ANCIEN	133	27/09/1992	02/10/1992		Election	30/09/2001		Fin de mandat	
81015E	M.	Charasse	Michel	ANCIEN	6419	23/09/2001	01/10/2001		Renouvellement 1	06/03/2010		Nommé membre CC	
92016Q	M.	Charmant	Marcel	ANCIEN	134	27/09/1992	02/10/1992		Election	30/09/2001		Ne se représente pas	
11080N	M.	Charon	Pierre	ACTIF	12741	25/09/2011	01/10/2011		Election	01/10/2017		Fin de mandat	
11080N	M.	Charon	Pierre	ACTIF	51178	24/09/2017	02/10/2017		Renouvellement 1			En Cours	
000191	M.	Charpentier	Maurice	ANCIEN	2354		19/06/1955		Election	27/04/1959		Fin de mandat	
000191	M.	Charpentier	Maurice	ANCIEN	2355		28/04/1959		Renouvellement	19/08/1965		Décédé	
000572	M.	Charretier	Maurice	ANCIEN	2357	28/09/1986	02/10/1986		Election	30/09/1987		Décédé	
95018F	M.	Charzat	Michel	ANCIEN	135	24/09/1995	02/10/1995		Election	27/01/2000		Élu député	
14195A	M.	Chasseing	Daniel	ACTIF	14046	28/09/2014	01/10/2014		Election			En Cours	
08057C	M.	Chastan	Yves	ANCIEN	11711	21/09/2008	01/10/2008		Election	30/09/2014		Ne se représente pas	
000439	M.	Chatelain	Fernand	ANCIEN	2359	22/09/1968	02/10/1968		Election	02/10/1977		Fin de mandat	
000439	M.	Chatelain	Fernand	ANCIEN	2360	25/09/1977	03/10/1977		Renouvellement	11/06/1979		Décédé	
08028W	M.	Chatillon	Alain	ACTIF	11584	21/09/2008	01/10/2008		Election	30/09/2014		Fin de mandat	
08028W	M.	Chatillon	Alain	ACTIF	14159	28/09/2014	01/10/2014		Renouvellement			En Cours	
77012W	M.	Chaumont	Jacques	ANCIEN	136	25/09/1977	03/10/1977		Election	01/10/1986		Fin de mandat	
77012W	M.	Chaumont	Jacques	ANCIEN	137	28/09/1986	02/10/1986		Renouvellement 1	01/10/1995		Fin de mandat	
77012W	M.	Chaumont	Jacques	ANCIEN	138	24/09/1995	02/10/1995		Renouvellement 2	30/09/2004		Ne se représente pas	
59221C	M.	Chauty	Michel	ANCIEN	2362	26/09/1965	02/10/1965		Election	01/10/1974		Fin de mandat	
59221C	M.	Chauty	Michel	ANCIEN	2363	22/09/1974	02/10/1974		Renouvellement 1	02/10/1983		Fin de mandat	
59221C	M.	Chauty	Michel	ANCIEN	2364	25/09/1983	03/10/1983		Renouvellement 2	01/10/1992		Ne se représente pas	
